회차	추첨일	1등	2등	3등	4등	5등	6등	7등	보너스
247	20250123	2조	490590	90590	0590	590	90	0	523374
246	20250116	3조	176069	76069	6069	069	69	9	562760
245	20250109	1조	179273	79273	9273	273	73	3	070373
244	20250102	5조	033337	33337	3337	337	37	7	223594
243	20241226	2조	084982	84982	4982	982	82	2	824649
242	20241219	1조	323164	23164	3164	164	64	4	436966
241	20241212	2조	106716	06716	6716	716	16	6	987868
240	20241205	4조	446648	46648	6648	648	48	8	761555
239	20241128	4조	277326	77326	7326	326	26	6	160764
238	20241121	5조	988942	88942	8942	942	42	2	291070
237	20241114	5조	793969	93969	3969	969	69	9	045886
236	20241107	4조	444431	44431	4431	431	31	1	874258
235	20241031	4조	817148	17148	7148	148	48	8	349458
234	20241024	4조	658373	58373	8373	373	73	3	240662
233	20241017	4조	378868	78868	8868	868	68	8	336899
232	20241010	1조	868476	68476	8476	476	76	6	117342
231	20241003	3조	660621	60621	0621	621	21	1	476220
230	20240926	2조	817209	17209	7209	209	09	9	127701
229	20240919	1조	441510	41510	1510	510	10	0	231818
228	20240912	4조	127317	27317	7317	317	17	7	906415
227	20240905	5조	068516	68516	8516	516	16	6	989890
226	20240829	1조	502275	02275	2275	275	75	5	940119
225	20240822	3조	245914	45914	5914	914	14	4	256347
224	20240815	4조	938763	38763	8763	763	63	3	760145
223	20240808	5조	279895	79895	9895	895	95	5	394453
222	20240801	5조	058627	58627	8627	627	27	7	651311
221	20240725	5조	131347	31347	1347	347	47	7	064200
220	20240718	4조	444739	44739	4739	739	39	9	171481
219	20240711	5조	425483	25483	5483	483	83	3	400155
218	20240704	5조	263338	63338	3338	338	38	8	885924
217	20240627	5조	817509	17509	7509	509	09	9	060717
216	20240620	5조	326117	26117	6117	117	17	7	248841
215	20240613	1조	849572	49572	9572	572	72	2	354129
214	20240606	1조	718766	18766	8766	766	66	6	087547
213	20240530	1조	156049	56049	6049	049	49	9	164947
212	20240523	2조	111915	11915	1915	915	15	5	481240
211	20240516	1조	960554	60554	0554	554	54	4	327793
210	20240509	3조	040662	40662	0662	662	62	2	941419
209	20240502	4조	998750	98750	8750	750	50	0	135188
208	20240425	1조	879829	79829	9829	829	29	9	039636
207	20240418	3조	211988	11988	1988	988	88	8	396540
206	20240411	3조	489075	89075	9075	075	75	5	587695
205	20240404	1조	472377	72377	2377	377	77	7	935471
204	20240328	5조	756397	56397	6397	397	97	7	738072
203	20240321	3조	453064	53064	3064	064	64	4	178824
202	20240314	2조	419093	19093	9093	093	93	3	193778
201	20240307	1조	472675	72675	2675	675	75	5	551745
200	20240229	5조	146362	46362	6362	362	62	2	260054
199	20240222	4조	103633	03633	3633	633	33	3	175709
198	20240215	2조	437803	37803	7803	803	03	3	620125
197	20240208	4조	966616	66616	6616	616	16	6	200861
196	20240201	4조	113393	13393	3393	393	93	3	349078
195	20240125	4조	531307	31307	1307	307	07	7	118693
194	20240118	5조	461102	61102	1102	102	02	2	840423
193	20240111	2조	491905	91905	1905	905	05	5	454185
192	20240104	2조	034210	34210	4210	210	10	0	718715
191	20231228	4조	296430	96430	6430	430	30	0	883654
190	20231221	2조	850365	50365	0365	365	65	5	730462
189	20231214	4조	466557	66557	6557	557	57	7	212372
188	20231207	5조	502522	02522	2522	522	22	2	957460
187	20231130	5조	200473	00473	0473	473	73	3	809797
186	20231123	5조	616814	16814	6814	814	14	4	212250
185	20231116	4조	577418	77418	7418	418	18	8	628266
184	20231109	3조	646362	46362	6362	362	62	2	443317
183	20231102	4조	321423	21423	1423	423	23	3	306633
182	20231026	1조	993750	93750	3750	750	50	0	772427
181	20231019	3조	550104	50104	0104	104	04	4	115474
180	20231012	3조	836838	36838	6838	838	38	8	349504
179	20231005	2조	947176	47176	7176	176	76	6	429189
178	20230928	3조	004687	04687	4687	687	87	7	212701
177	20230921	3조	105948	05948	5948	948	48	8	269313
176	20230914	3조	858952	58952	8952	952	52	2	376170
175	20230907	5조	765740	65740	5740	740	40	0	885824
174	20230831	2조	876021	76021	6021	021	21	1	303134
173	20230824	3조	803757	03757	3757	757	57	7	689970
172	20230817	1조	092138	92138	2138	138	38	8	668183
171	20230810	2조	844578	44578	4578	578	78	8	735284
170	20230803	2조	965178	65178	5178	178	78	8	037262
169	20230727	3조	924748	24748	4748	748	48	8	588050
168	20230720	2조	970731	70731	0731	731	31	1	541237
167	20230713	3조	475016	75016	5016	016	16	6	297615
166	20230706	4조	342103	42103	2103	103	03	3	382956
165	20230629	1조	718273	18273	8273	273	73	3	910041
164	20230622	1조	972349	72349	2349	349	49	9	991515
163	20230615	1조	711067	11067	1067	067	67	7	102865
162	20230608	2조	802493	02493	2493	493	93	3	216363
161	20230601	3조	055838	55838	5838	838	38	8	049140
160	20230525	5조	440286	40286	0286	286	86	6	856561
159	20230518	3조	846581	46581	6581	581	81	1	957574
158	20230511	2조	357856	57856	7856	856	56	6	177555
157	20230504	5조	243430	43430	3430	430	30	0	816580
156	20230427	1조	071712	71712	1712	712	12	2	771390
155	20230420	4조	739586	39586	9586	586	86	6	512376
154	20230413	3조	826393	26393	6393	393	93	3	710212
153	20230406	1조	977038	77038	7038	038	38	8	455399
152	20230330	3조	905531	05531	5531	531	31	1	787836
151	20230323	4조	256502	56502	6502	502	02	2	884688
150	20230316	3조	365343	65343	5343	343	43	3	512134
149	20230309	5조	378296	78296	8296	296	96	6	042521
148	20230302	1조	826930	26930	6930	930	30	0	312717
147	20230223	4조	838380	38380	8380	380	80	0	708673
146	20230216	1조	643570	43570	3570	570	70	0	357651
145	20230209	2조	221111	21111	1111	111	11	1	103714
144	20230202	5조	849681	49681	9681	681	81	1	007544
143	20230126	5조	459979	59979	9979	979	79	9	933888
142	20230119	2조	852960	52960	2960	960	60	0	767662
141	20230112	4조	895352	95352	5352	352	52	2	686221
140	20230105	4조	469185	69185	9185	185	85	5	832940
139	20221229	1조	201688	01688	1688	688	88	8	056960
138	20221222	1조	393066	93066	3066	066	66	6	269254
137	20221215	1조	873784	73784	3784	784	84	4	609795
136	20221208	5조	587411	87411	7411	411	11	1	430827
135	20221201	2조	400876	00876	0876	876	76	6	480190
134	20221124	1조	047022	47022	7022	022	22	2	904394
133	20221117	1조	107523	07523	7523	523	23	3	464693
132	20221110	1조	338822	38822	8822	822	22	2	980312
