회차	추첨일	1등	2등_공	3등_공	4등_공	5등_공	6등_공	7등_공	보너스_공
247	20250123	2조	4,9,0,5,9,0	9,0,5,9,0	0,5,9,0	5,9,0	9,0	0	5,2,3,3,7,4
246	20250116	3조	1,7,6,0,6,9	7,6,0,6,9	6,0,6,9	0,6,9	6,9	9	5,6,2,7,6,0
245	20250109	1조	1,7,9,2,7,3	7,9,2,7,3	9,2,7,3	2,7,3	7,3	3	0,7,0,3,7,3
244	20250102	5조	0,3,3,3,3,7	3,3,3,7	3,3,7	3,7	7	2,2,3,5,9,4
243	20241226	2조	0,8,4,9,8,2	8,4,9,8,2	4,9,8,2	9,8,2	8,2	2	8,2,4,6,4,9
242	20241219	1조	3,2,3,1,6,4	2,3,1,6,4	3,1,6,4	1,6,4	6,4	4	4,3,6,9,6,6
241	20241212	2조	1,0,6,7,1,6	0,6,7,1,6	6,7,1,6	7,1,6	1,6	6	9,8,7,8,6,8
240	20241205	4조	4,4,6,6,4,8	4,6,6,4,8	6,6,4,8	6,4,8	4,8	8	7,6,1,5,5,5
239	20241128	4조	2,7,7,3,2,6	7,7,3,2,6	7,3,2,6	3,2,6	2,6	6	1,6,0,7,6,4
238	20241121	5조	9,8,8,9,4,2	8,8,9,4,2	8,9,4,2	9,4,2	4,2	2	2,9,1,0,7,0
237	20241114	5조	7,9,3,9,6,9	9,3,9,6,9	3,9,6,9	9,6,9	6,9	9	0,4,5,8,8,6
236	20241107	4조	4,4,4,4,3,1	4,4,4,3,1	4,4,3,1	4,3,1	3,1	1	8,7,4,2,5,8
235	20241031	4조	8,1,7,1,4,8	1,7,1,4,8	7,1,4,8	1,4,8	4,8	8	3,4,9,4,5,8
234	20241024	4조	6,5,8,3,7,3	5,8,3,7,3	8,3,7,3	3,7,3	7,3	3	2,4,0,6,6,2
233	20241017	4조	3,7,8,8,6,8	7,8,8,6,8	8,8,6,8	8,6,8	6,8	8	3,3,6,8,9,9
232	20241010	1조	8,6,8,4,7,6	6,8,4,7,6	8,4,7,6	4,7,6	7,6	6	1,1,7,3,4,2
231	20241003	3조	6,6,0,6,2,1	6,0,6,2,1	0,6,2,1	6,2,1	2,1	1	4,7,6,2,2,0
230	20240926	2조	8,1,7,2,0,9	1,7,2,0,9	7,2,0,9	2,0,9	0,9	9	1,2,7,7,0,1
229	20240919	1조	4,4,1,5,1,0	4,1,5,1,0	1,5,1,0	5,1,0	1,0	0	2,3,1,8,1,8
228	20240912	4조	1,2,7,3,1,7	2,7,3,1,7	7,3,1,7	3,1,7	1,7	7	9,0,6,4,1,5
227	20240905	5조	0,6,8,5,1,6	6,8,5,1,6	8,5,1,6	5,1,6	1,6	6	9,8,9,8,9,0
226	20240829	1조	5,0,2,2,7,5	0,2,2,7,5	2,2,7,5	2,7,5	7,5	5	9,4,0,1,1,9
225	20240822	3조	2,4,5,9,1,4	4,5,9,1,4	5,9,1,4	9,1,4	1,4	4	2,5,6,3,4,7
224	20240815	4조	9,3,8,7,6,3	3,8,7,6,3	8,7,6,3	7,6,3	6,3	3	7,6,0,1,4,5
223	20240808	5조	2,7,9,8,9,5	7,9,8,9,5	9,8,9,5	8,9,5	9,5	5	3,9,4,4,5,3
222	20240801	5조	0,5,8,6,2,7	5,8,6,2,7	8,6,2,7	6,2,7	2,7	7	6,5,1,3,1,1
221	20240725	5조	1,3,1,3,4,7	3,1,3,4,7	1,3,4,7	3,4,7	4,7	7	0,6,4,2,0,0
220	20240718	4조	4,4,4,7,3,9	4,4,7,3,9	4,7,3,9	7,3,9	3,9	9	1,7,1,4,8,1
219	20240711	5조	4,2,5,4,8,3	2,5,4,8,3	5,4,8,3	4,8,3	8,3	3	4,0,0,1,5,5
218	20240704	5조	2,6,3,3,3,8	6,3,3,3,8	3,3,3,8	3,3,8	3,8	8	8,8,5,9,2,4
217	20240627	5조	8,1,7,5,0,9	1,7,5,0,9	7,5,0,9	5,0,9	0,9	9	0,6,0,7,1,7
216	20240620	5조	3,2,6,1,1,7	2,6,1,1,7	6,1,1,7	1,1,7	1,7	7	2,4,8,8,4,1
215	20240613	1조	8,4,9,5,7,2	4,9,5,7,2	9,5,7,2	5,7,2	7,2	2	3,5,4,1,2,9
214	20240606	1조	7,1,8,7,6,6	1,8,7,6,6	8,7,6,6	7,6,6	6,6	6	0,8,7,5,4,7
213	20240530	1조	1,5,6,0,4,9	5,6,0,4,9	6,0,4,9	0,4,9	4,9	9	1,6,4,9,4,7
212	20240523	2조	1,1,1,9,1,5	1,1,9,1,5	1,9,1,5	9,1,5	1,5	5	4,8,1,2,4,0
211	20240516	1조	9,6,0,5,5,4	6,0,5,5,4	0,5,5,4	5,5,4	5,4	4	3,2,7,7,9,3
210	20240509	3조	0,4,0,6,6,2	4,0,6,6,2	0,6,6,2	6,6,2	6,2	2	9,4,1,4,1,9
209	20240502	4조	9,9,8,7,5,0	9,8,7,5,0	8,7,5,0	7,5,0	5,0	0	1,3,5,1,8,8
208	20240425	1조	8,7,9,8,2,9	7,9,8,2,9	9,8,2,9	8,2,9	2,9	9	0,3,9,6,3,6
207	20240418	3조	2,1,1,9,8,8	1,1,9,8,8	1,9,8,8	9,8,8	8,8	8	3,9,6,5,4,0
206	20240411	3조	4,8,9,0,7,5	8,9,0,7,5	9,0,7,5	0,7,5	7,5	5	5,8,7,6,9,5
205	20240404	1조	4,7,2,3,7,7	7,2,3,7,7	2,3,7,7	3,7,7	7,7	7	9,3,5,4,7,1
204	20240328	5조	7,5,6,3,9,7	5,6,3,9,7	6,3,9,7	3,9,7	9,7	7	7,3,8,0,7,2
203	20240321	3조	4,5,3,0,6,4	5,3,0,6,4	3,0,6,4	0,6,4	6,4	4	1,7,8,8,2,4
202	20240314	2조	4,1,9,0,9,3	1,9,0,9,3	9,0,9,3	0,9,3	9,3	3	1,9,3,7,7,8
201	20240307	1조	4,7,2,6,7,5	7,2,6,7,5	2,6,7,5	6,7,5	7,5	5	5,5,1,7,4,5
200	20240229	5조	1,4,6,3,6,2	4,6,3,6,2	6,3,6,2	3,6,2	6,2	2	2,6,0,0,5,4
199	20240222	4조	1,0,3,6,3,3	0,3,6,3,3	3,6,3,3	6,3,3	3,3	3	1,7,5,7,0,9
