game_store_id,dhlottery_code,store_name,address,region,method,latitude,longitude,lottery_type,round,prize_tier,store_rank,winning_amount,created_at,crawled_at,winning_count
PENSION_STORE_00001,11110408,로또판매,서울 중구 신당동  217-96 동평화상가1층 가-41,서울,,37.569431,127.013234,pension,312,second,2,,2026-04-26T11:24:10.745685,2026-04-26T11:24:10.745685,1
PENSION_STORE_00002,11100849,복권방,서울 종로구 운니동  98-9 신문가판대,서울,,37.588349,126.99941,pension,312,second,2,,2026-04-26T11:24:10.745685,2026-04-26T11:24:10.745685,1
PENSION_STORE_00003,11190219,모아주류뱅크광화문점,서울 종로구 통의동  47,서울,,37.576637,126.972895,pension,312,second,2,,2026-04-26T11:24:10.745685,2026-04-26T11:24:10.745685,1
PENSION_STORE_00004,11110391,로또명당,서울 은평구 역촌동  63-24,서울,,37.600345,126.910064,pension,312,second,2,,2026-04-26T11:24:10.745685,2026-04-26T11:24:10.745685,1
PENSION_STORE_00005,11190192,복권천국,서울 성동구 행당동  298-25 1층,서울,,37.559944,127.03292,pension,312,second,2,,2026-04-26T11:24:10.745685,2026-04-26T11:24:10.745685,1
PENSION_STORE_00006,11100415,로얄마트,서울 서초구 서초2동  1330-11 금성상가 104,서울,,37.492993,127.028893,pension,312,second,2,,2026-04-26T11:24:10.745685,2026-04-26T11:24:10.745685,1
PENSION_STORE_00007,11100620,한마음로또,서울 서대문구 홍제동  366-3,서울,,37.582999,126.937477,pension,312,second,2,,2026-04-26T11:24:10.745685,2026-04-26T11:24:10.745685,1
PENSION_STORE_00008,11100171,복권전문점,서울 도봉구 방학1동  658-27호,서울,,37.667398,127.04,pension,312,second,2,,2026-04-26T11:24:10.745685,2026-04-26T11:24:10.745685,1
PENSION_STORE_00009,11100128,복권방,서울 구로구 구로동  409-80 1층,서울,,37.493925,126.882589,pension,312,second,2,,2026-04-26T11:24:10.745685,2026-04-26T11:24:10.745685,1
PENSION_STORE_00010,11100127,주택복권사랑방,서울 구로구 구로동  1258번지 중앙유통지하 B55-02호,서울,자동,37.50184,126.87663,pension,312,first,1,,2026-04-26T11:24:10.745685,2026-04-26T11:24:10.745685,1
